POPS.ELF Function Map - PS1 Emulator for PS2 (HDD version)
==========================================================================================
Generated by POPS Deep Analysis Tool

ARCHITECTURE OVERVIEW:
  - EE (Emotion Engine) MIPS R5900 binary, EABI64, MIPS-III
  - Entry point: 0x00200008
  - Code: 296KB (.text), 3.5KB VU microcode (.vutext)
  - Data: 2.75MB (.data incl. embedded IOP modules)
  - PS1 emulator with JIT recompiler

EMBEDDED IOP MODULES:
  sio2man, padman_hsync, Sound_Device_Library (libsd),
  sdr_driver, dev9, atad, hdd, pfs, IOPCD


==========================================================================================
 CDROM - 41 functions (0x0020FD18 - 0x00213E50)
==========================================================================================

  0x0020FD18  CDROM_Init                                    frame=   0  size=   12  calls= 0
  0x0020FD24  cdrom_0001                                    frame=  16  size=   60  calls= 2
  0x0020FD60  cdrom_0002                                    frame=   0  size=  128  calls= 0
  0x0020FDE0  cdrom_0003                                    frame=  64  size=  300  calls= 1
  0x0020FF0C  cdrom_0004                                    frame=  16  size=   36  calls= 1
  0x0020FF30  cdrom_0005                                    frame=  64  size=  352  calls= 4
  0x00210090  cdrom_0006                                    frame=  64  size=  400  calls= 5
  0x00210220  cdrom_0007                                    frame=  16  size=   64  calls= 4
  0x00210260  cdrom_0008                                    frame=   0  size=   48  calls= 0
  0x00210290  cdrom_0009                                    frame=  16  size=  216  calls= 4
  0x00210368  cdrom_0010                                    frame=   0  size=   96  calls= 0
  0x002103C8  cdrom_0011                                    frame=   0  size=   20  calls= 0
  0x002103DC  cdrom_0012                                    frame=  16  size=   36  calls= 1
  0x00210400  cdrom_0013                                    frame=  96  size=  320  calls= 1
  0x00210540  cdrom_0014                                    frame= 160  size=  816  calls= 8
  0x00210870  cdrom_0015                                    frame=  16  size=   40  calls= 0
  0x00210898  cdrom_0016                                    frame=  16  size=   88  calls= 1
  0x002108F0  cdrom_0017                                    frame=   0  size=  240  calls= 0
  0x002109E0  cdrom_0018                                    frame=  16  size=   56  calls= 1
  0x00210A18  cdrom_0019                                    frame=  32  size=   72  calls= 1
  0x00210A60  cdrom_0020                                    frame=   0  size=  104  calls= 0
  0x00210AC8  cdrom_0021                                    frame=   0  size=  112  calls= 0
  0x00210B38  cdrom_0022                                    frame=  16  size=   80  calls= 0
  0x00210B88  cdrom_0023                                    frame=  32  size=  184  calls= 4
  0x00210C40  cdrom_0024                                    frame=  16  size=   56  calls= 2
  0x00210C78  cdrom_0025                                    frame= 224  size= 2104  calls= 5
  0x002114B0  cdrom_0026                                    frame=   0  size= 1144  calls= 0
  0x00211928  cdrom_0027                                    frame=  64  size=  400  calls= 1
  0x00211AB8  cdrom_0028                                    frame=   0  size=  136  calls= 0
  0x00211B40  cdrom_0029                                    frame=  16  size=  376  calls= 1
  0x00211CB8  cdrom_0030                                    frame=  32  size=  728  calls= 1
  0x00211F90  cdrom_0031                                    frame=  80  size=  776  calls= 1
  0x00212298  cdrom_0032                                    frame=   0  size=  264  calls= 0
  0x002123A0  cdrom_0033                                    frame= 304  size= 3224  calls= 0
  0x00213038  cdrom_0034                                    frame=  64  size=  448  calls= 0
  0x002131F8  cdrom_0035                                    frame=  80  size= 1104  calls= 1
  0x00213648  cdrom_0036                                    frame=   0  size=  132  calls= 0
  0x002136CC  cdrom_0037                                    frame=  32  size=  536  calls= 2
  0x002138E4  cdrom_0038                                    frame=  80  size= 1308  calls= 8
  0x00213E00  cdrom_0039                                    frame=   0  size=    4  calls= 0
  0x00213E04  cdrom_0040                                    frame=  16  size=   76  calls= 2

==========================================================================================
 COMPILER - 69 functions (0x00204E70 - 0x0020A090)
==========================================================================================

  0x00204E70  Compiler_Init                                 frame=  16  size=  328  calls= 4
  0x00204FB8  compiler_0001                                 frame=   0  size=   64  calls= 0
  0x00204FF8  compiler_0002                                 frame=   0  size=   64  calls= 0
  0x00205038  compiler_0003                                 frame=   0  size=   64  calls= 0
  0x00205078  compiler_0004                                 frame=   0  size=   64  calls= 0
  0x002050B8  compiler_0005                                 frame=   0  size=   88  calls= 0
  0x00205110  compiler_0006                                 frame=  32  size=  208  calls= 1
  0x002051E0  compiler_0007                                 frame=  32  size=  216  calls= 1
  0x002052B8  compiler_0008                                 frame=  80  size=  336  calls= 1
  0x00205408  compiler_0009                                 frame=  48  size=  392  calls= 2
  0x00205590  compiler_0010                                 frame=  80  size=  536  calls= 2
  0x002057A8  compiler_0011                                 frame=  16  size=   40  calls= 1
  0x002057D0  compiler_0012                                 frame=  48  size=  112  calls= 1
  0x00205840  compiler_0013                                 frame=  32  size=  120  calls= 1
  0x002058B8  compiler_0014                                 frame=  48  size=  184  calls= 1
  0x00205970  compiler_0015                                 frame=  32  size=  392  calls= 1
  0x00205AF8  compiler_0016                                 frame=  48  size=  120  calls= 1
  0x00205B70  compiler_0017                                 frame=  32  size=  120  calls= 1
  0x00205BE8  compiler_0018                                 frame=  80  size=  400  calls= 1
  0x00205D78  compiler_0019                                 frame=  80  size= 1056  calls= 3
  0x00206198  compiler_0020                                 frame= 128  size=  496  calls= 4
  0x00206388  compiler_0021                                 frame=  48  size=  272  calls= 1
  0x00206498  compiler_0022                                 frame=  48  size=  368  calls= 1
  0x00206608  compiler_0023                                 frame=  48  size=  312  calls= 1
  0x00206740  compiler_0024                                 frame=   0  size=   48  calls= 0
  0x00206770  compiler_0025                                 frame=  32  size=   64  calls= 2
  0x002067B0  compiler_0026                                 frame=  32  size= 1272  calls= 2
  0x00206CA8  compiler_0027                                 frame=  16  size=   56  calls= 2
  0x00206CE0  compiler_0028                                 frame=  32  size=  216  calls= 1
  0x00206DB8  compiler_0029                                 frame=   0  size=   32  calls= 0
  0x00206DD8  compiler_0030                                 frame=  32  size=  192  calls= 1
  0x00206E98  compiler_0031                                 frame=  48  size=  232  calls= 1
  0x00206F80  compiler_0032                                 frame=   0  size=   80  calls= 0
  0x00206FD0  compiler_0033                                 frame=   0  size=   72  calls= 0
  0x00207018  compiler_0034                                 frame=  48  size=  512  calls= 5
  0x00207218  compiler_0035                                 frame=  48  size=  352  calls= 1
  0x00207378  compiler_0036                                 frame=  48  size=  200  calls= 1
  0x00207440  compiler_0037                                 frame=  80  size=  456  calls= 2
  0x00207608  compiler_0038                                 frame=   0  size=  136  calls= 0
  0x00207690  compiler_0039                                 frame=   0  size=   40  calls= 0
  0x002076B8  compiler_0040                                 frame=  16  size=   24  calls= 0
  0x002076D0  compiler_0041                                 frame=   0  size=  160  calls= 0
  0x00207770  compiler_0042                                 frame=  32  size=   88  calls= 1
  0x002077C8  compiler_0043                                 frame=   0  size=   48  calls= 0
  0x002077F8  compiler_0044                                 frame=   0  size=  144  calls= 0
  0x00207888  compiler_0045                                 frame=  32  size=  168  calls= 1
  0x00207930  compiler_0046                                 frame=  32  size=   80  calls= 1
  0x00207980  compiler_0047                                 frame=  16  size=   64  calls= 0
  0x002079C0  compiler_0048                                 frame=  16  size=   48  calls= 0
  0x002079F0  compiler_0049                                 frame=  32  size=  104  calls= 1
  0x00207A58  compiler_0050                                 frame=  48  size=  240  calls= 1
  0x00207B48  compiler_0051                                 frame=   0  size=   56  calls= 0
  0x00207B80  compiler_0052                                 frame=   0  size=   64  calls= 0
  0x00207BC0  compiler_0053                                 frame=   0  size=  352  calls= 0
  0x00207D20  compiler_0054                                 frame= 128  size=  192  calls= 0
  0x00207DE0  compiler_0055                                 frame=  48  size=  928  calls= 1
  0x00208180  compiler_0056                                 frame= 128  size=  216  calls= 1
  0x00208258  compiler_0057                                 frame=   0  size=  784  calls= 1
  0x00208568  compiler_0058                                 frame=   0  size=  496  calls= 0
  0x00208758  compiler_0059                                 frame=   0  size=    8  calls= 0
  0x00208760  compiler_0060                                 frame=   0  size=  160  calls= 0
  0x00208800  compiler_0061                                 frame=  16  size= 5632  calls= 2
  0x00209E00  compiler_0062                                 frame=   0  size=  240  calls= 0
  0x00209EF0  compiler_0063                                 frame=   0  size=  144  calls= 0
  0x00209F80  compiler_0064                                 frame=   0  size=   24  calls= 0
  0x00209F98  compiler_0065                                 frame=  16  size=   48  calls= 0
  0x00209FC8  compiler_0066                                 frame=   0  size=   56  calls= 0
  0x0020A000  compiler_0067                                 frame=  16  size=  128  calls= 2
  0x0020A080  compiler_0068                                 frame=   0  size=   16  calls= 0

==========================================================================================
 COUNTER - 8 functions (0x0020B390 - 0x0020B788)
==========================================================================================

  0x0020B390  Counter_Init                                  frame=   0  size=   12  calls= 0
  0x0020B39C  counter_0001                                  frame=  16  size=   84  calls= 1
  0x0020B3F0  counter_0002                                  frame=  16  size=   32  calls= 1
  0x0020B410  counter_0003                                  frame=  16  size=  120  calls= 3
  0x0020B488  counter_0004                                  frame=  16  size=   80  calls= 2
